Use,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.failed,failed
Use,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.errored,errored
Use,scrapy.commands.check.TextTestResult.printSummary,printSummary,start,start
Use,scrapy.commands.check.TextTestResult.printSummary,printSummary,stop,stop
Use,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.run,run
Use,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.plural,plural
Use,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.infos,infos
Set,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.failed,failed
Set,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.errored,errored
Set,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.write,write
Set,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.writeln,writeln
Set,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.run,run
Set,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.plural,plural
Set,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.infos,infos
Use,scrapy.commands.check.Command.add_options,add_options,parser,parser
Call,scrapy.commands.check.Command.run,run,scrapy.utils.conf.build_component_list,build_component_list
Call,scrapy.commands.check.Command.run,run,scrapy.utils.misc.load_object,load_object
Call,scrapy.commands.check.Command.run,run,scrapy.commands.check.TextTestResult,TextTestResult
Call,scrapy.commands.check.Command.run,run,scrapy.commands.check.TextTestResult.printSummary,printSummary
Use,scrapy.commands.check.Command.run,run,scrapy.commands.check.Command.run.contracts,contracts
Use,scrapy.commands.check.Command.run,run,scrapy.commands.check.Command.run.result,result
Use,scrapy.commands.check.Command.run,run,scrapy.commands.check.Command.run.spidercls,spidercls
